      t         y1        y2      check
  24.00000  -3.64542  -0.61447  13.66665
  24.05000  -3.67614  -0.04487  13.51603
  24.10000  -3.67839   0.52952  13.81092
  24.15000  -3.65191   1.10427  14.55586
  24.20000  -3.59670   1.67488  15.74145
  24.25000  -3.51295   2.23687  17.34440
  24.30000  -3.40111   2.78576  19.32802
  24.35000  -3.26182   3.31719  21.64320
  24.40000  -3.09596   3.82685  24.22973
  24.45000  -2.90462   4.31059  27.01800
  24.50000  -2.68909   4.76444  29.93106
  24.55000  -2.45087   5.18461  32.88690
  24.60000  -2.19164   5.56756  35.80095
  24.65000  -1.91326   5.91000  38.58865
  24.70000  -1.61776   6.20895  41.16815
  24.75000  -1.30731   6.46172  43.46289
  24.80000  -0.98423   6.66599  45.40409
  24.85000  -0.65093   6.81977  46.93301
  24.90000  -0.30994   6.92148  48.00295
  24.95000   0.03614   6.96991  48.58092
  25.00000   0.38463   6.96426  48.64888
  25.05000   0.73284   6.90416  48.20453
  25.10000   1.07805   6.78966  47.26163
  25.15000   1.41754   6.62121  45.84983
  25.20000   1.74860   6.39972  44.01401
  25.25000   2.06858   6.12650  41.81306
  25.30000   2.37491   5.80329  39.31832
  25.35000   2.66507   5.43221  36.61148
  25.40000   2.93668   5.01579  33.78225
  25.45000   3.18747   4.55693  30.92561
  25.50000   3.41532   4.05889  28.13899
  25.55000   3.61826   3.52525  25.51919
  25.60000   3.79453   2.95989  23.15939
  25.65000   3.94252   2.36700  21.14615
  25.70000   4.06087   1.75098  19.55659
  25.75000   4.14842   1.11647  18.45588
  25.80000   4.20424   0.46828  17.89494
  25.85000   4.22766  -0.18863  17.90866
  25.90000   4.21822  -0.84921  18.51457
  25.95000   4.17576  -1.50830  19.71198
  26.00000   4.10035  -2.16077  21.48177
  26.05000   3.99231  -2.80145  23.78664
  26.10000   3.85224  -3.42524  26.57204
  26.15000   3.68098  -4.02716  29.76757
  26.20000   3.47962  -4.60231  33.28899
  26.25000   3.24950  -5.14600  37.04058
  26.30000   2.99220  -5.65373  40.91799
  26.35000   2.70952  -6.12127  44.81137
  26.40000   2.40345  -6.54463  48.60874
  26.45000   2.07622  -6.92017  52.19941
  26.50000   1.73021  -7.24458  55.47753
  26.55000   1.36798  -7.51492  58.34544
  26.60000   0.99224  -7.72867  60.71688
  26.65000   0.60580  -7.88371  62.51984
  26.70000   0.21162  -7.97836  63.69908
  26.75000  -0.18730  -8.01143  64.21809
  26.80000  -0.58787  -7.98216  64.06054
  26.85000  -0.98698  -7.89031  63.23112
  26.90000  -1.38149  -7.73609  61.75568
  26.95000  -1.76830  -7.52024  59.68083
  27.00000  -2.14431  -7.24394  57.07273
  27.05000  -2.50651  -6.90889  54.01535
  27.10000  -2.85195  -6.51725  50.60817
  27.15000  -3.17781  -6.07163  46.96321
  27.20000  -3.48140  -5.57510  43.20184
  27.25000  -3.76015  -5.03113  39.45100
  27.30000  -4.01171  -4.44361  35.83943
  27.35000  -4.23389  -3.81678  32.49359
  27.40000  -4.42473  -3.15523  29.53370
  27.45000  -4.58249  -2.46387  27.06985
  27.50000  -4.70568  -1.74785  25.19844
  27.55000  -4.79307  -1.01259  23.99890
  27.60000  -4.84370  -0.26367  23.53099
  27.65000  -4.85689   0.49315  23.83256
  27.70000  -4.83223   1.25204  24.91806
  27.75000  -4.76963   2.00708  26.77772
  27.80000  -4.66927   2.75233  29.37746
  27.85000  -4.53166   3.48191  32.65960
  27.90000  -4.35756   4.18998  36.54427
  27.95000  -4.14806   4.87085  40.93159
  28.00000  -3.90452   5.51898  45.70445
  28.05000  -3.62857   6.12906  50.73196
  28.10000  -3.32212   6.69603  55.87327
  28.15000  -2.98732   7.21511  60.98186
  28.20000  -2.62656   7.68188  65.91007
  28.25000  -2.24247   8.09228  70.51362
  28.30000  -1.83785   8.44266  74.65627
  28.35000  -1.41572   8.72983  78.21416
  28.40000  -0.97923   8.95103  81.07990
  28.45000  -0.53168   9.10404  83.16620
  28.50000  -0.07648   9.18711  84.40890
  28.55000   0.38288   9.19906  84.76935
  28.60000   0.84283   9.13924  84.23603
  28.65000   1.29980   9.00754  82.82533
  28.70000   1.75017   8.80445  80.58147
  28.75000   2.19040   8.53099  77.57557
  28.80000   2.61694   8.18874  73.90383
  28.85000   3.02638   7.77984  69.68490
  28.90000   3.41537   7.30697  65.05656
  28.95000   3.78072   6.77332  60.17167
  29.00000   4.11939   6.18258  55.19363
  29.05000   4.42852   5.53892  50.29144
  29.10000   4.70546   4.84697  45.63448
  29.15000   4.94781   4.11174  41.38724
  29.20000   5.15340   3.33864  37.70406
  29.25000   5.32033   2.53343  34.72416
  29.30000   5.44700   1.70212  32.56705
  29.35000   5.53211   0.85103  31.32847
  29.40000   5.57466  -0.01336  31.07701
